generation,phase,best_fitness,avg_fitness,median_fitness,best_delta,median_delta,global_best_fitness,n_species,n_connections_best,n_hidden_best,oracle_tax,elapsed_sec
173,0,0.442250,0.424134,0.441000,0.442250,0.441000,0.442250,268,35,19,-0.25,1.57
174,0,0.442250,0.426090,0.441000,0.442250,0.441000,0.442250,275,35,19,-0.25,1.60
175,0,0.442250,0.429240,0.441000,0.442250,0.441000,0.442250,285,35,19,-0.25,1.66
176,0,0.442250,0.428157,0.441000,0.442250,0.441000,0.442250,263,36,19,-0.25,1.61
177,0,0.442250,0.429348,0.441000,0.442250,0.441000,0.442250,271,36,19,-0.25,1.65
178,0,0.442250,0.428959,0.441250,0.442250,0.441250,0.442250,278,36,19,-0.25,1.74
179,0,0.442250,0.428174,0.441250,0.442250,0.441250,0.442250,251,36,19,-0.25,1.48
180,0,0.442250,0.428737,0.441250,0.442250,0.441250,0.442250,260,36,19,-0.25,1.97
181,0,0.442250,0.428974,0.441250,0.442250,0.441250,0.442250,259,36,19,-0.25,1.71
182,0,0.442250,0.427321,0.441250,0.442250,0.441250,0.442250,262,36,19,-0.25,1.73
183,0,0.442250,0.428700,0.441250,0.442250,0.441250,0.442250,265,36,19,-0.25,1.60
184,0,0.442250,0.424404,0.441250,0.442250,0.441250,0.442250,255,36,19,-0.25,1.50
185,0,0.442250,0.427829,0.441250,0.442250,0.441250,0.442250,252,36,19,-0.25,1.51
186,0,0.443750,0.427794,0.441250,0.443750,0.441250,0.443750,238,37,23,-0.25,1.55
187,0,0.443750,0.425559,0.441250,0.443750,0.441250,0.443750,249,37,23,-0.25,1.55
188,0,0.443750,0.425044,0.441250,0.443750,0.441250,0.443750,244,37,23,-0.25,1.85
189,0,0.443750,0.426881,0.441250,0.443750,0.441250,0.443750,251,37,23,-0.25,1.67
190,0,0.443750,0.426279,0.441250,0.443750,0.441250,0.443750,253,37,23,-0.25,2.02
191,0,0.443750,0.425921,0.441250,0.443750,0.441250,0.443750,260,37,23,-0.25,1.50
192,0,0.443750,0.426929,0.441250,0.443750,0.441250,0.443750,259,37,23,-0.25,1.53
193,0,0.444000,0.427691,0.441250,0.444000,0.441250,0.444000,257,37,23,-0.25,1.51
194,0,0.444000,0.426546,0.441250,0.444000,0.441250,0.444000,253,37,23,-0.25,1.53
195,0,0.444000,0.428328,0.441250,0.444000,0.441250,0.444000,257,37,23,-0.25,1.51
196,0,0.444000,0.429206,0.441250,0.444000,0.441250,0.444000,264,37,23,-0.25,1.50
197,0,0.444000,0.428536,0.441250,0.444000,0.441250,0.444000,259,37,23,-0.25,1.50
198,0,0.444000,0.426737,0.442000,0.444000,0.442000,0.444000,260,37,23,-0.25,1.55
199,0,0.444000,0.427944,0.442000,0.444000,0.442000,0.444000,243,37,23,-0.25,1.48
200,1,-0.009766,-0.087209,-0.074219,-0.009766,-0.074219,-0.009766,243,36,19,-0.25,10.74
201,1,-0.007812,-0.093521,-0.095703,-0.007812,-0.095703,-0.007812,236,36,21,-0.26,11.17
202,1,0.000000,-0.096672,-0.085938,0.000000,-0.085938,0.000000,253,31,20,-0.27,10.56
203,1,-0.017578,-0.057635,-0.060547,-0.017578,-0.060547,0.000000,250,35,20,-0.28,10.96
204,1,0.000000,-0.068164,-0.064453,0.000000,-0.064453,0.000000,252,34,21,-0.29,11.54
205,1,-0.015625,-0.075033,-0.078125,-0.015625,-0.078125,0.000000,274,31,20,-0.30,11.30
206,1,-0.021484,-0.082285,-0.072266,-0.021484,-0.072266,0.000000,262,33,24,-0.30,13.11
207,1,-0.027344,-0.081459,-0.074219,-0.027344,-0.074219,0.000000,248,38,21,-0.31,11.67
208,1,-0.027344,-0.067799,-0.066406,-0.027344,-0.066406,0.000000,252,38,22,-0.32,12.77
209,1,-0.007812,-0.069650,-0.062500,-0.007812,-0.062500,0.000000,247,34,20,-0.33,12.74
210,1,0.001953,-0.048693,-0.046875,0.001953,-0.046875,0.001953,226,33,26,-0.34,11.77
211,1,0.005859,-0.055398,-0.056641,0.005859,-0.056641,0.005859,235,34,27,-0.35,11.50
212,1,-0.023438,-0.082629,-0.083984,-0.023438,-0.083984,0.005859,225,34,26,-0.36,12.10
213,1,-0.023438,-0.071791,-0.070312,-0.023438,-0.070312,0.005859,242,29,24,-0.37,12.23
214,1,-0.005859,-0.047063,-0.042969,-0.005859,-0.042969,0.005859,242,38,21,-0.38,11.42
215,1,0.015625,-0.038291,-0.039062,0.015625,-0.039062,0.015625,248,34,27,-0.39,11.15
216,1,0.021484,-0.029148,-0.021484,0.021484,-0.021484,0.021484,264,34,28,-0.40,11.83
217,1,-0.005859,-0.043443,-0.041016,-0.005859,-0.041016,0.021484,265,36,21,-0.41,12.50
218,1,0.039062,-0.039180,-0.037109,0.039062,-0.037109,0.039062,275,38,28,-0.41,11.50
219,1,0.001953,-0.055105,-0.054688,0.001953,-0.054688,0.039062,276,32,25,-0.42,11.64
220,1,0.017578,-0.030664,-0.029297,0.017578,-0.029297,0.039062,268,34,27,-0.43,11.30
221,1,0.017578,-0.019988,-0.021484,0.017578,-0.021484,0.039062,268,40,21,-0.44,11.13
222,1,0.007812,-0.049896,-0.048828,0.007812,-0.048828,0.039062,268,31,29,-0.45,12.71
223,1,-0.046875,-0.096322,-0.097656,-0.046875,-0.097656,0.039062,266,36,22,-0.46,11.35
224,1,-0.017578,-0.051350,-0.046875,-0.017578,-0.046875,0.039062,255,37,27,-0.47,10.02
225,1,0.025391,-0.013299,-0.007812,0.025391,-0.007812,0.039062,261,32,28,-0.48,10.43
226,1,0.027344,-0.026371,-0.025391,0.027344,-0.025391,0.039062,275,39,23,-0.49,10.62
227,1,-0.007812,-0.052812,-0.048828,-0.007812,-0.048828,0.039062,284,40,22,-0.50,11.51
228,1,0.013672,-0.028125,-0.031250,0.013672,-0.031250,0.039062,292,32,26,-0.51,11.61
229,1,0.011719,-0.037357,-0.035156,0.011719,-0.035156,0.039062,286,32,28,-0.52,11.43
230,1,-0.035156,-0.078080,-0.072266,-0.035156,-0.072266,0.039062,265,38,29,-0.53,12.63
231,1,-0.005859,-0.061320,-0.060547,-0.005859,-0.060547,0.039062,280,34,29,-0.53,11.67
232,1,0.001953,-0.049973,-0.048828,0.001953,-0.048828,0.039062,282,37,23,-0.54,12.14
233,1,-0.013672,-0.068150,-0.066406,-0.013672,-0.066406,0.039062,282,34,29,-0.55,12.37
234,1,0.070312,0.023648,0.027344,0.070312,0.027344,0.070312,283,33,26,-0.56,12.14
