generation,phase,lead_best,lead_avg,follow_best,follow_avg,best_delta_lead,best_delta_follow,n_species_lead,n_species_follow,n_conns_lead,n_conns_follow,elapsed_sec
974,1,0.966797,0.166305,0.568359,-0.222350,0.966797,0.568359,294,312,51,94,4.34
975,1,1.033203,0.545094,1.640625,0.503205,1.033203,1.640625,287,313,51,46,5.40
976,1,1.472656,1.152529,1.289062,0.573195,1.472656,1.289062,286,316,51,47,5.80
977,1,1.380859,1.100486,-0.882812,-1.364277,1.380859,-0.882812,297,310,48,50,3.25
978,1,1.884766,1.440279,0.615234,-0.008324,1.884766,0.615234,297,311,51,94,2.15
979,1,0.869141,0.525607,-2.251953,-3.185279,0.869141,-2.251953,283,311,47,55,3.65
980,1,1.552734,0.781148,0.535156,-0.097711,1.552734,0.535156,296,309,49,91,5.67
981,1,0.134766,-0.732189,-2.304688,-3.009936,0.134766,-2.304688,297,311,51,47,5.23
982,1,1.787109,0.751113,1.712891,0.732559,1.787109,1.712891,302,301,50,93,5.73
983,1,1.519531,1.170490,4.957031,3.301619,1.519531,4.957031,300,301,66,47,4.30
984,1,-0.478516,-0.935451,0.388672,0.080654,-0.478516,0.388672,304,305,51,52,4.03
985,1,0.017578,-0.638342,1.087891,0.404725,0.017578,1.087891,305,296,50,93,4.19
986,1,2.251953,1.629375,0.339844,-0.961717,2.251953,0.339844,305,302,46,52,4.40
987,1,2.492188,1.930016,0.064453,-1.269787,2.492188,0.064453,306,298,50,48,6.33
988,1,0.857422,-0.051693,0.666016,-0.911736,0.857422,0.666016,307,308,48,93,4.16
989,1,1.337891,0.662039,-2.564453,-3.410553,1.337891,-2.564453,304,305,49,49,4.35
990,1,1.439453,0.946467,1.007812,0.262441,1.439453,1.007812,306,302,54,96,5.39
991,1,2.085938,1.668256,1.267578,0.810369,2.085938,1.267578,303,305,50,93,3.13
992,1,0.638672,0.373273,-0.378906,-1.140100,0.638672,-0.378906,307,302,51,48,3.34
993,1,0.470703,-0.334740,-0.185547,-0.789814,0.470703,-0.185547,303,294,49,95,4.33
994,1,0.935547,0.104646,0.498047,-0.973160,0.935547,0.498047,309,296,51,49,4.43
995,1,1.208984,0.574352,-0.242188,-1.524545,1.208984,-0.242188,299,294,53,50,5.37
996,1,1.591797,1.379492,0.103516,-0.797217,1.591797,0.103516,310,290,51,93,2.07
997,1,0.365234,0.118801,-0.492188,-1.933516,0.365234,-0.492188,302,294,51,54,4.06
998,1,0.703125,0.295367,0.509766,0.079693,0.703125,0.509766,307,294,48,49,3.11
999,1,0.105469,-0.280125,-1.658203,-3.237879,0.105469,-1.658203,259,293,48,58,4.27
1000,1,1.218750,0.305111,0.923828,0.103230,1.218750,0.923828,273,295,48,50,4.13
1001,1,1.818359,1.528227,-1.712891,-2.396264,1.818359,-1.712891,277,305,53,53,4.73
1002,1,2.187500,1.790650,1.128906,0.367725,2.187500,1.128906,287,298,51,51,2.10
1003,1,1.152344,0.649600,-2.123047,-2.610363,1.152344,-2.123047,286,288,49,93,3.66
1004,1,1.955078,1.177104,0.191406,-0.341936,1.955078,0.191406,293,302,63,50,3.14
1005,1,1.068359,0.768941,0.378906,-0.319104,1.068359,0.378906,293,299,61,92,3.56
1006,1,0.630859,-0.974656,0.167969,-0.841824,0.630859,0.167969,291,307,51,56,5.20
1007,1,2.230469,2.022092,-1.863281,-2.522779,2.230469,-1.863281,289,303,51,49,3.01
1008,1,0.015625,-0.712365,-0.611328,-1.559809,0.015625,-0.611328,288,305,49,53,5.23
1009,1,2.103516,1.318297,-0.291016,-0.913041,2.103516,-0.291016,280,299,51,52,3.38
1010,1,2.056641,1.463801,-3.257812,-3.866168,2.056641,-3.257812,289,305,49,52,5.58
1011,1,2.337891,0.558059,0.824219,0.092369,2.337891,0.824219,296,303,47,52,3.22
1012,1,1.914062,1.480660,-0.007812,-0.490092,1.914062,-0.007812,291,296,65,51,2.19
1013,1,0.058594,-0.561090,0.144531,-1.161350,0.058594,0.144531,291,304,47,93,4.26
1014,1,1.234375,0.948953,0.564453,-0.216145,1.234375,0.564453,294,304,50,51,2.09
1015,1,1.248047,0.531607,-1.419922,-2.221043,1.248047,-1.419922,281,303,47,52,4.24
1016,1,0.630859,-0.340113,-0.820312,-1.396395,0.630859,-0.820312,275,294,47,94,5.42
1017,1,0.410156,-0.647439,-0.113281,-1.186207,0.410156,-0.113281,277,304,50,51,5.48
1018,1,0.816406,0.269184,-1.740234,-2.334717,0.816406,-1.740234,278,300,70,53,3.62
1019,1,2.777344,2.311771,-0.501953,-2.120926,2.777344,-0.501953,269,296,47,53,4.51
1020,1,3.355469,1.625721,-1.117188,-1.840205,3.355469,-1.117188,270,298,47,54,4.27
1021,1,2.142578,1.508508,0.558594,-0.384867,2.142578,0.558594,272,296,48,54,4.48
1022,1,2.312500,1.505268,1.000000,0.506064,2.312500,1.000000,267,296,48,54,3.34
1023,1,1.691406,0.597850,-2.128906,-3.712693,1.691406,-2.128906,266,295,47,53,5.60
1024,1,1.386719,0.257586,-1.369141,-2.884850,1.386719,-1.369141,271,173,48,53,4.45
1025,1,2.914062,1.984730,-0.250000,-0.959891,2.914062,-0.250000,275,201,47,57,3.50
1026,1,-0.869141,-1.335139,1.226562,0.530432,-0.869141,1.226562,284,229,46,55,3.28
1027,1,0.457031,-0.487607,1.464844,0.508541,0.457031,1.464844,283,247,47,60,3.07
1028,1,1.667969,0.867314,1.525391,0.925150,1.667969,1.525391,283,243,50,53,3.18
1029,1,2.271484,1.931992,-0.916016,-1.955682,2.271484,-0.916016,284,246,51,59,3.30
1030,1,1.560547,1.083117,1.070312,0.264889,1.560547,1.070312,289,249,46,58,2.12
1031,1,0.908203,-0.230840,-1.806641,-2.651143,0.908203,-1.806641,291,260,51,51,5.71
1032,1,2.085938,1.104541,-0.990234,-2.028844,2.085938,-0.990234,281,261,48,58,5.68
1033,1,1.109375,-0.240510,-0.705078,-1.448709,1.109375,-0.705078,288,266,50,54,4.27
1034,1,1.218750,0.194092,-1.871094,-3.247064,1.218750,-1.871094,314,275,50,53,5.61
1035,1,1.755859,0.283168,-2.832031,-3.529250,1.755859,-2.832031,307,281,47,62,5.67
1036,1,2.847656,2.143904,-1.609375,-2.415684,2.847656,-1.609375,309,284,49,60,4.51
1037,1,2.621094,1.676016,0.572266,0.076285,2.621094,0.572266,309,286,50,46,2.24
1038,1,1.751953,1.337590,1.615234,0.504662,1.751953,1.615234,310,282,49,60,4.48
1039,1,2.287109,1.815455,0.396484,-0.201410,2.287109,0.396484,310,287,49,52,2.16
1040,1,1.246094,0.039447,-0.011719,-1.178246,1.246094,-0.011719,313,289,49,55,6.73
1041,1,1.937500,1.495395,-0.785156,-1.439619,1.937500,-0.785156,306,281,48,55,4.41
1042,1,1.433594,0.971016,0.839844,0.134043,1.433594,0.839844,307,277,51,52,2.10
1043,1,0.933594,0.481816,-0.734375,-1.342049,0.933594,-0.734375,302,273,51,61,2.15
1044,1,0.943359,0.274566,0.378906,-0.134205,0.943359,0.378906,305,269,50,49,3.16
1045,1,1.125000,0.067381,-1.451172,-3.066500,1.125000,-1.451172,299,270,50,56,5.58
