generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,lead_val_acc,follow_val_acc,fixed_probe_delta,elapsed_sec
377,1,0.654297,0.350236,0.654297,0.350236,20,20,147,186,0.000000,0.000000,0.000000,5.94
378,1,0.789062,0.407596,0.789062,0.407596,20,20,137,167,0.000000,0.000000,0.000000,7.61
379,1,0.597656,0.258699,0.597656,0.258699,20,20,125,143,0.000000,0.000000,0.000000,6.02
380,1,0.781250,0.492088,0.781250,0.492088,20,20,142,172,0.000000,0.000000,0.000000,5.74
381,1,0.884766,0.597768,0.884766,0.597768,20,20,137,176,0.000000,0.000000,0.000000,6.42
382,1,0.953125,0.563564,0.953125,0.563564,20,20,140,170,0.000000,0.000000,0.000000,8.00
383,1,0.080078,-0.519850,0.080078,-0.519850,20,20,141,172,0.000000,0.000000,0.000000,7.66
384,1,0.843750,0.473250,0.843750,0.473250,20,20,125,146,0.000000,0.000000,0.000000,7.67
385,1,1.093750,0.672637,1.093750,0.672637,20,20,138,175,0.000000,0.000000,0.000000,5.98
386,1,0.828125,0.371193,0.828125,0.371193,20,20,142,181,0.000000,0.000000,0.000000,6.07
387,1,0.498047,0.281328,0.498047,0.281328,20,20,147,177,0.000000,0.000000,0.000000,9.66
388,1,0.785156,0.510633,0.785156,0.510633,20,20,147,181,0.000000,0.000000,0.000000,6.27
389,1,0.347656,-0.129340,0.347656,-0.129340,20,20,147,180,0.000000,0.000000,0.000000,8.68
390,1,0.988281,0.679510,0.988281,0.679510,20,20,144,183,0.000000,0.000000,0.000000,8.65
391,1,0.658203,0.368209,0.658203,0.368209,20,20,129,178,0.000000,0.000000,0.000000,6.58
392,1,0.164062,-0.220781,0.164062,-0.220781,20,20,145,176,0.000000,0.000000,0.000000,8.42
393,1,0.343750,-0.011766,0.343750,-0.011766,20,20,151,185,0.000000,0.000000,0.000000,6.22
394,1,0.740234,0.493412,0.740234,0.493412,20,20,129,163,0.000000,0.000000,0.000000,8.21
395,1,1.427734,1.097826,1.427734,1.097826,20,20,147,182,0.000000,0.000000,0.000000,5.58
396,1,0.142578,-0.153467,0.142578,-0.153467,20,20,140,178,0.000000,0.000000,0.000000,5.19
397,1,0.390625,-0.171377,0.390625,-0.171377,20,20,153,180,0.000000,0.000000,0.000000,6.81
398,1,1.371094,0.943941,1.371094,0.943941,20,20,140,167,0.000000,0.000000,0.000000,5.28
399,1,0.652344,0.319461,0.652344,0.319461,20,20,154,179,0.000000,0.000000,0.000000,8.25
