generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,elapsed_sec
693,1,-0.417969,-1.460525,-1.541016,-2.188980,298,268,30,53,3.18
694,1,-1.970703,-2.622467,0.193359,-0.114041,296,275,28,49,2.57
695,1,-1.558594,-2.137287,-0.449219,-0.798553,299,269,27,50,2.58
696,1,-1.093750,-1.456254,0.548828,0.075193,299,272,26,50,2.13
697,1,-0.820312,-1.646904,0.662109,-0.429592,300,263,27,54,2.04
698,1,0.220703,-0.338238,-0.193359,-0.813451,302,253,27,51,3.22
699,1,0.769531,0.396775,0.822266,0.340709,301,255,29,53,1.46
700,1,0.248047,-0.024781,-1.390625,-2.007441,297,247,25,49,2.42
701,1,-0.642578,-1.039785,-0.302734,-0.785771,312,247,27,46,2.60
702,1,0.296875,0.032848,-2.349609,-2.943756,305,245,23,50,2.72
703,1,0.154297,-0.516168,1.531250,1.055412,306,255,30,51,2.09
704,1,-1.578125,-2.031303,-0.847656,-1.351545,298,260,25,53,3.20
705,1,-1.095703,-1.377215,-0.968750,-1.416844,300,253,28,55,2.62
706,1,0.025391,-0.285838,-0.187500,-0.613938,305,259,25,51,1.47
707,1,-0.886719,-1.460459,0.027344,-0.465748,296,269,27,53,3.18
708,1,-0.115234,-0.705451,-1.064453,-1.540467,299,267,26,50,2.59
709,1,0.031250,-0.477635,-1.078125,-1.562404,229,272,24,52,3.13
710,1,0.195312,-0.227459,0.511719,-0.133969,255,283,23,49,1.88
711,1,-0.589844,-0.951627,-0.410156,-0.808967,269,284,25,52,1.50
712,1,-0.037109,-1.034785,-0.306641,-0.751545,278,285,26,50,2.68
